Paper ID,Journal Name,Journal Publisher
4dc581de0b53272581f2c6d856976b15ee1746e3,Journal of Ethnic and Migration Studies,
5b448562bb9633af39faa1bc8edd77509c419492,Journal of Refugee Studies,Oxford University Pressjnl.info@oup.co.uk
10663a537795fe15316f9a611fee172af4af2fd4,Identities,Routledgeaabs@uw.edu
2367c457bc2ab07ba4c5c74a4097006d526b3f6f,Race & Class,
9ace73923261366973ef0b67a79df043befb7624,Ethnic and Racial Studies,
d734ce87ccdf3515c5dcd88bc1f50ce2ef47dc21,Mobilities,
d65860781a77e5a0c721da9e6e5d596ff1acd546,"Language, Culture and Curriculum",
57f8c076e0203d7f2dd0980fab28443eb6f7166b,Journal of Migration History,Brill Academic Publishers
d26cc560620170e18ea1f9402dd1cbfed8acff4c,Journal of International Migration and Integration,Springer Netherlands
bc89fbab8b113943c545b8988440cd2576c12194,"Language, Culture and Curriculum",
d122779d5af89dc0c1b24c21c316da610c8f91a8,Refugee Survey Quarterly,Oxford University Press
2bbebc6fe631f7a6f5680670968db93744911030,Citizenship Studies,Routledgeinfo@tandf.co.uk
3944fcab39b0c117bf11e515a907a1a1a4bb5422,Journal of International Migration and Integration,
2607665f671d26a76b5695dd8a0ebb5f7b986079,Cultural Diversity and Ethnic Minority Psychology,
b4f05b9f7467c0a95f0b4de89ff62c41f7e926e3,Race Ethnicity and Education,Routledgeinfo@tandf.co.uk
c9584bbe5f29de8a18f1a14474285afc44cdd8d2,Cultural Diversity and Ethnic Minority Psychology,American Psychological Association Inc.journals@apa.org
b4a782ff90c1eb9776faaa7c417c202a9d3d3b70,Revue européenne des migrations internationales,
9d134fbde5eac05383f7a857805ea91e043eb51b,Global Networks,
b6ba39cba314203594edf59b16b8f3844662a35e,Race & Class,
9e2ffab2feaff7cd34721fd84c5b2f7616af5fcd,Citizenship Studies,
b7b701acc409fdc59cee04d81bdc949e521d077d,Citizenship Studies,
61c731d42794f4cedbfb248bf140f6e1ff509027,Journal of Ethnic and Migration Studies,
a9ae7d14c6317e17729a5bb039a0f81759d85baf,Latino Studies,
c08ac5bc8e6ed12fb07f0b1b96b72f1dc12aa79e,Identities,
330b3676fbf0f2b69881c81db469159216f3a6d0,Comparative Migration Studies,Springer
9a0faaad6ca45c933399ecb28fdb2ac1858cc8e2,Journal of Black Studies,
4c00dafacf3f1ea191f82722409e27f4ddaf173b,Journal of Ethnic and Migration Studies,Carfax Publishing Company
ebe99b781d642b0956f2da3915faa294b124b5ba,Journal of Ethnic and Migration Studies,
f34c53fb7302e85bd4e56ca1fef25312b74b9b17,Population and Development Review,Population Council
607e6785d7c3797f04a0e95089152942989c824c,Journal of Studies in International Education,
efd5707729ff9e621eb0cfe37320a034a8deca7b,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
5c939672bbf11b9ab03c0ee467d143a3d6935e80,Ethnic and Racial Studies,Routledge
73b9d34d750e5047915967f32990488cd5cba5a5,Journal of Refugee Studies,
b733e592eb11f3e71043b41ef09e8daa994d1290,Asian and Pacific Migration Journal,Scalabrini Migration Center
1ce00ab09339652bdb7b1710692a7d0563c9ebda,Population and Development Review,
4922a7d089dda3e0ca6de07fcd6659d7923ee3cd,International Journal of Intercultural Relations,
a7586349e7a50a2ed408899fd68f01d4b245b02e,International Migration,
a9630ff344b49273abccb6c4eaa9c0e9f03f1535,Population and Development Review,Blackwell Publishing Ltdcustomerservices@oxonblackwellpublishing.com
3de96eaf83a87c488a05bdbc7bb1a3c1e456d634,Asian and Pacific Migration Journal,"Scalabrini Migration Center40 Matapat St.Bay Pinyahan, 1100 Quezon city"
d6a91c8052700158bf34073f21ad0df00fa77051,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
5051629467afd81e8234d4aea5dd207fd6a993cb,European Journal of Migration and Law,
5ee4dc1ac8ff6752d20588237b3c081ac8ca33b5,International Migration Review,Center for Migration Studies
482fce930d5312c076a60aa572a6c3fa7233c9b6,Migration Studies,Oxford University Press
f219eb361d2025a303c0fabce34ff587375d0b17,Journal of Studies in International Education,
5cc81a9797440b8d98622c92dec96f55614fa85e,International Migration Review,Center for Migration Studies
b1bb18f988913ac76c1eb09a97fe94afea12dfff,"Population, Space and Place","John Wiley and Sons LtdSouthern GateChichester, West SussexPO19 8SQvgorayska@wiley.com"
1657e7b080dad36ea191ec87f820e0880c1714ce,International Migration,Blackwell Publishing Ltd
57a6b1a7e2bd8d36d4974e81923d39303afe3c36,Journal of Ethnic and Migration Studies,Routledgeinfo@tandf.co.uk
31910f8b0838e97d17544bba891d3da3d9bb7d5c,Citizenship Studies,
5018d5751ea4812d550184787c1c7468b4b3daa8,Latino Studies,"Palgrave Macmillan Ltd.HoundmillsBasingstoke, Hants.RG21 6XS"
81ab440cacea0ae1cff8f39e4d46050fb469c602,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
1af7cf19848f6683a549f850d8d07e1bd39546dd,Journal of Immigrant and Refugee Studies,Routledgeaabs@uw.edu
95a87c8a2e8147643a04714a0c7a0c44dc4725f9,European Journal of Migration and Law,
ec727e71574a07f88309f565ed4ce1174bf4d069,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
0e386caf383e1d18632b560726a2b6019e03adee,Mobilities,Routledgeinfo@tandf.co.uk
33adb7035bb146b65bf335ba2452f6868a5ebf5f,Cultural Diversity and Mental Health,Educational Publishing Foundation
b1c9b560199b38d01b9f13ddbe79ce43b35a9171,Refugee Survey Quarterly,
4a5274298d61e3dc8af16cda84590d77ea223080,"Language, Culture and Curriculum",
ef549a2c09d37b09bab5d97c95766a88605c90b4,Journal of Ethnic and Migration Studies,Routledgeinfo@tandf.co.uk
819cbc833800c23cf79d685e657038855dc0bb85,Race and Class,
573611a605f18657e661a3ae7a64b62e326e21d2,Journal of Intercultural Studies,Routledgeinfo@tandf.co.uk
f876261781ca821a617cf477a75ed431e6840271,Ethnic and Racial Studies,
fa7fc43af64b60562d553b906b2914213ec216db,International Migration,Blackwell Publishing Ltdcustomerservices@oxonblackwellpublishing.com
9f7a19d02d53a6fd730d2fd6973b62728aef10cd,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
88d080663b7d04b7c7c8739caa310a6cc1b82aab,Ethnicities,SAGE Publications Ltdinfo@sagepub.co.uk
706e867fdefd360470a7b6e439617311ea2981b0,Ethnicities,SAGE Publications Ltdinfo@sagepub.co.uk
22f8bfd290885dac5e5b6faf553b769abcf4516b,Ethnic and Racial Studies,
7e3da11a144eaea26cab4b915854fbf94e21e688,Population and Development Review,
5682658730e45f822a0183b9423c32b9e64b0f3d,Race and Class,
2638887017ea2372f83f0dbf4176256176b77b54,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
fc163d0a1339722d99f1d44c5531425550048138,"International Journal of Migration, Health and Social Care",
860c3d5822c445a75f0411f2a7fc0e5d5fb08f18,Journal of Studies in International Education,SAGE Publications Inc.claims@sagepub.com
cf9f56071971d5d2dcd6df7c088a75ad6386aa6c,Cultural Diversity and Ethnic Minority Psychology,American Psychological Association Inc.journals@apa.org
be088cd3313cd77ffc32c15c9f95afc763f2b973,Citizenship Studies,
53d4cf60b8050f329e42e4b50f6d7b8cb09c7fa8,Ethnic and Racial Studies,
c23903ebdfa7fde4ad35103323ce77606d2dac05,Citizenship Studies,Routledgeinfo@tandf.co.uk
dee14da03a844496a3b3fa02ace6d8e5f9b0a835,Ethnicity and Health,Routledgeinfo@tandf.co.uk
78fadd81d4959d74bbe3c4c851ddabdb41d7e9e7,International Journal of Intercultural Relations,Elsevier Ltd
fbf1012ef0d0f21f78d3011ef31ce29d4fc216bf,Patterns of Prejudice,Routledgeinfo@tandf.co.uk
8f83d81fca7e9c79918a16fe8a1ef599e7ae06e5,Journal of Ethnic and Migration Studies,
03fff9f3904dc60053d59999f34e6aeab89fa5fe,Journal of Black Studies,SAGE Publications Inc.claims@sagepub.com
1c57cd67740d8feb1c4eac89189255b0c4b67c6f,Journal of Refugee Studies,Oxford University Press
5b9d0675efdd7933b437fd1d3cb0143ba29a51d0,Journal of Intercultural Studies,
0a110b871ffcf5b9bf706210d4595b5dcd79809a,Global Networks,
76b9c30d308a2ef090d2e720c34e1579c6c1c6dc,Identities,
07af98218f0a87231172a88f572e6dfc96450897,Journal of Ethnic and Migration Studies,
82d520becfe460da5bdc457991a1a7e15a97a07c,International Migration Review,
8a51364338deffd6ae04ee0ccdaab31368581907,Journal of Studies in International Education,
04d566938beaa2b42e92d3a0dad33ae080703dd7,International Migration,Blackwell Publishing Ltd
4895249799306b413a76e2c3bac43ea1eba6d4b3,Journal of Ethnic and Migration Studies,
28c918436e1a48a395104e0a25c626e115b34277,Race Ethnicity and Education,Routledgeinfo@tandf.co.uk
c9026f90e973cc00571b0b7d55c65e12738901ef,"Population, Space and Place",
bef56adee54fc89d4788ac91d133ca050e060749,International Journal of Intercultural Relations,
1a9c7fff7b089630b92fe236a0c4cef0ae541c41,Journal of Ethnic and Migration Studies,Routledgeinfo@tandf.co.uk
c1ef6c58e877aaff74da5aee6977194943e960bf,Patterns of Prejudice,
c93fb6176ad925ce0d95b915b8222c072db4d00a,Journal of Studies in International Education,
1ad68fcd26bf19618c889a1cd51d5f9548931e07,International Migration,Blackwell Publishing Ltdcustomerservices@oxonblackwellpublishing.com
972fe63ca6bc39e9e82498a09ba92dd3fd86b254,Patterns of Prejudice,Routledgeinfo@tandf.co.uk
caa6b05df2cdf7ae2d78dfe8d329c2a8169c88a6,Population and Development Review,
7d65fe7ed8c10175c2d16be99aeccf46ab50c3ad,Race and Class,
9e1fb864f181cc9852c350cefaeb4c49ba0ed4a2,International Migration Review,
1a40b595187b5db1fa4e45b0873576a7f5ba2dbe,Journal of Black Studies,
9415398532c6764b7e3e38a443c64b5f6dcd5eed,Cultural Diversity and Ethnic Minority Psychology,American Psychological Association Inc.journals@apa.org
729e444a9e898e58c61f8c3646a93be419fd978a,Asian and Pacific Migration Journal,Scalabrini Migration Center
4ac94d35576931dc29a13af8511d7dfe055456a1,Refugee Survey Quarterly,
fc94405d487ba87062e6440ab690ebf9bc4c106e,Journal of Ethnic and Migration Studies,Routledgeinfo@tandf.co.uk
e8cbb112babc40f48ad7e8c1d998f0f5475e3f1a,Race Ethnicity and Education,Routledgeinfo@tandf.co.uk
75e61756eb42c8657378f2bde671e377a0929696,Journal of Ethnic and Migration Studies,
d0a14bfa805e353fb5b10597a27155a72a49a3cb,International Journal of Intercultural Relations,Elsevier Ltd
79d917f78079e719740030ac9196d3344a4c4d75,International Journal of Intercultural Relations,Elsevier Ltd
6a333c2ee6125f2054f3c7c87fb431640e9e51bc,Race & Class,
44a788e4b22f3799e7161874ddfd9d845d8af458,Refugee Survey Quarterly,
233143979c44bf73b457ce5a86b9b3959399c7ff,Global Networks,
dd0700660df61cc72d835d4b52c07e1c58eb7af0,Migration Letters,Transnational Press London Ltdsales@tplondon.com
68a0f5a526b4b1df356aef8ef8f697cef249a453,Ethnicity and Health,
f203be2d3356eb1b6390ad9a903afbb4a617a64f,Refugee Survey Quarterly,
5ebf01259c6b4f0e368cd73d221be1fb94fb1076,Population & Development Review,
6fc8122b28cc3206dbce883c8c4857ae50a0948f,Ethnic and Racial Studies,
accae3afb3ed6580db618386177a4c7b0914bd06,Asian and Pacific Migration Journal,"Scalabrini Migration Center40 Matapat St.Bay Pinyahan, 1100 Quezon city"
ac775a0e1d728682e7f79956aa9a6c0d2ffc79dd,"Population, Space and Place",
7f08c00862b0f1ba55e74e4f8ad633773dbc482b,Refugee Survey Quarterly,Oxford University Pressjnl.info@oup.co.uk
009f471bd246b4782ac4ef4ba03bb63a82294568,Journal of Ethnic and Migration Studies,Routledgeinfo@tandf.co.uk
f621d48794e452714d7d2b564efff2275a3eae8f,International Migration,Blackwell Publishing Ltdcustomerservices@oxonblackwellpublishing.com
0c3e5ac2c72d4c83fef6b4dbb91240843676c828,International Journal of Intercultural Relations,Elsevier Ltd
d0a8c625207bceba6adc72d1bdcdb18ca7a4ab24,International Migration Review,
23ac0f65405fb89c04bf754ff6685b604df151e6,Cultural Diversity and Mental Health,
167cd8d065bb08a89bb05db716f79cfa26c00a1a,Race & Class,
cd12164ec18290b5394c2b94cc50838b28a6d2ee,Journal of Ethnic and Migration Studies,
7bd71794ce2796f2f007f4e507c2844973b8ad1a,Citizenship Studies,Carfax Publishing Company
ce6c057d0a6b82274600265e6112adf1bd0f50ec,Journal of Refugee Studies,Oxford University Press
a5868ec484078ae36edfc100c58f221b1191a190,Race & Class,
86ebf1f6ba4e69fe697c75bc79b946d061404889,Ethnicities,
0ea31365002942767ec5adefd8e9bc6183042974,Race Ethnicity and Education,Routledgeinfo@tandf.co.uk
3f4c4f8fddeee9fb5a20445b2067dd327ce6b988,Journal of International Migration and Integration,Springer Netherlandsrbk@louisiana.edu
adcc7d3779a5163a9cf042fcaf47d8d3dac027a9,Journal of Black Studies,
3bbf82c454c8339d632927745b5f3220ad923d37,International Journal of Intercultural Relations,
e04e6fabca8240b4b6bba279acd31b1483367372,Ethnicity and Health,Routledgeinfo@tandf.co.uk
3c6bd74131b2ef58bb9af48b25a0de9653e93ef5,Race Ethnicity and Education,Routledgeinfo@tandf.co.uk
0fb156d67767165c89a2b0f9046362e85a1965cc,Ethnicity and Health,
90988e849c8ffcad5aa894d4577db5d718e3748e,Journal of Ethnic and Migration Studies,
3659b1351a05fb08a540f0d5a89d38319df8069d,Patterns of Prejudice,
ab3a7da057e111f0e91d0cb3b2c81ec3bb7201f8,Studi Emigrazione,
d207d3a2b0c2b2830cafa3eb429b5d8d583647d2,Ethnic and Racial Studies,
79ec8282c091a0c2d63347e19b94130177c0f263,Journal of Black Studies,
464007c25f4b5be27e6b7f58a1dd77a631b671ea,Journal of Black Studies,SAGE Publications Inc.claims@sagepub.com
3eaac42a9682f94367681b9e3325d47036961711,Identities,
97dfe24fc9e141894fc2f1924110d7031d25d511,Journal of International Migration and Integration,Springereditorial@springerplus.com
e011bed1af2560101dc82c6182536243b410ce06,Asian & Pacific Migration Journal,
6a829fdcf981f69b9817ec839b251271fa6ddd17,International Migration,
9ef134f985e8c35ec22c724d7944c34f67dfd560,Ethnic and Racial Studies,Routledge Journals
bfd48dec73e8830a93e82b3ac45f4f806f5f9faf,Race & Class,
a6d88563ed785049962c58fff6fcd544bc86a795,Cultural Diversity and Ethnic Minority Psychology,
8273571d4c1fb55f0bc07e0df9c4ef0b46f43361,Journal of Black Studies,
9ae8953a819679993ac6bd29f2ca36fd472623a2,Journal of Ethnic and Migration Studies,Routledgeinfo@tandf.co.uk
0c96aab553f828be24778ffc902fbb87b7db83a2,International Journal of Intercultural Relations,Elsevier Ltd
26edae9f610376b5232f5ed474aa0ce172c01e45,Patterns of Prejudice,
bbc2abaf148bd9126ffe14cb5f33e71ca432d6ed,International Journal of Intercultural Relations,
ceb831088ccf5bd7206ce5b14edfad5b1b4e1361,Journal of Studies in International Education,SAGE Publications Inc.claims@sagepub.com
833fc244366882a964bfacf7c48a05929b4fbd12,International Journal of Intercultural Relations,
f41b6d2c91f6c2043818d653ee3b26b76853febe,Asian and Pacific Migration Journal,Scalabrini Migration Centerclaims@sagepub.com
411c9f05e04e017205ee7987cb15394ee7346745,International Journal of Intercultural Relations,
060208a42ce9b125a0ed33df55c40578e5779418,Identities,Routledgeaabs@uw.edu
2ebe77636e19bf15eaa6097060503bb35eb40a59,Journal of Refugee Studies,
94824af3b5c41d671cb809ebea8ac299087a8295,Ethnic and Racial Studies,
55a3062fcbb4a22ec5898ff191717434fd0284d3,Journal of Ethnic and Migration Studies,
c3483d6b1f9e503e82adba28f42002b66d7822ab,International Migration,
bb181f9ef3ebb61d75b90b6f2c6b5cd7585e7287,Identities,
ea585f448c3d1d43bbe4f62e448e979e14563165,International Migration,Blackwell Publishing Ltd
261d7bc3ef98d7239977a44985598b0ef4c9c65e,Journal of Refugee Studies,
bda813c7ba99967aa319bc2562c2ed69345994ff,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
635a98d1cf8c62df22d826c03945eff342a97ca0,International Journal of Intercultural Relations,
a3e9610f7cc5710817539f4959f022fad0cc50f0,Race Ethnicity and Education,
1d9bf665f4da800325d25fb807c0a8bfed1d7068,"Population, Space and Place",John Wiley and Sons Ltdcs-journals@wiley.co.uk
6553b9c2a99bbb79099535c20f4ff415b4e37123,International Journal of Intercultural Relations,
b50856f6f35134285d4a173d75a009cd106fefdd,Ethnic and Racial Studies,
7da04e23041de155024b919d687fef37a65a5e5f,Race & Class,
f3d3fab9fd2eea2e541f9a7f429655eb49db479f,Identities,
e8a31c8f35e7a9cd9c2009a2c8551ebf127f2080,Journal of Black Studies,
e05181f7ff373c653ebbee4d1f41c817431dd075,International Journal of Intercultural Relations,Elsevier Ltd
1df7dd888e67f2bc9e59168010e6a0460f569413,Journal of Black Studies,
15961642c1d89d2336758f75ce9159811b7ee3b4,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
2a7facf03a3a088421d5e93bc2e2c168db5cc96c,Journal of Ethnic and Migration Studies,
b3ab926507c4e82a2530be265f30258d775fa542,Ethnicities,
f53a6d740cee585bf7983eae5d3027ab8baa3662,Ethnic and Racial Studies,
d2caf2e022e6afcbed6450e26a9e8a7bddbe934e,"Language, Culture and Curriculum",Routledgeinfo@tandf.co.uk
f5d1e5b3d4825834fdd7dab0683c147fb5de60c1,"Language, Culture and Curriculum",
568fcdf17a753f86f580711464e2a8040e919613,Refugee Survey Quarterly,
ae6440e1ff010747f002c4d9d07734c550135d44,Cultural Diversity and Ethnic Minority Psychology,American Psychological Association Inc.
b25c10015e542a1fa1e09a71a28b20ace0abced2,Global Networks,
950ccb1f2957df7eea0420cde462fab8b508a940,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
13b36293f3d034365cc7409caef0c48627437095,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
c9090f506c9d0f749702eb31bb6da90c6449afb9,"Population, Space and Place",
6edf5c28488169a15ae64019037cd7fb3e648759,Cultural Diversity and Ethnic Minority Psychology,American Psychological Association Inc.journals@apa.org
5f05def003f9a4f7024c3eb3cfe4a09cc87f5ceb,"Language, Culture and Curriculum",
63b484dedc8311b2d105ab4e53ad566910fc56eb,International Migration,
75e60e6695d07b62694d062c92c3aea9dadbb1bd,Population and Development Review,
fbf17e17a0c6fa60dd32806a1102d73e2aef416d,Journal of Black Studies,
288ff938ee97ef7bcacac2e0a5444327eb1991f5,International Migration Review,
0eac00efed2949b8268383ea040665b401df856e,Latino Studies,"Palgrave Macmillan Ltd.HoundmillsBasingstoke, Hants.RG21 6XSjournal-info@palgrave.com"
33a56458f307fa2fa1d4e2e43a59e9714d904544,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
5ed0d256a22920271b2c52ad1a9c56d3a2fff3cd,Journal of Black Studies,SAGE Publications Inc.claims@sagepub.com
87b4df305693227a703e569ef0cb761812927f4f,International Journal of Intercultural Relations,Elsevier Ltd
ddec45a6d8d2aa8a26a98ed38574187b3af64ab0,Journal of Intercultural Studies,Routledgeinfo@tandf.co.uk
9a009e442e77c845b5eff30a100af56e25891abd,Patterns of Prejudice,
0946ba886926eadd67d761cdf980e85d282768e3,Citizenship Studies,Carfax Publishing Company
b0e1f298771916577b1205413a97e38f3c79f106,Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
016d95b1e4576caa32f98ee81da9743010bd1c23,Race Ethnicity and Education,Routledgeinfo@tandf.co.uk
