Journal Name,Journal Publisher
Population and Development Review,Blackwell Publishing Ltdcustomerservices@oxonblackwellpublishing.com
Journal of Studies in International Education,SAGE Publications Inc.claims@sagepub.com
Mobilities,Routledgeinfo@tandf.co.uk
Race and Class,SAGE Publications Ltdinfo@sagepub.co.uk
Journal of International Migration and Integration,Springer Science+Business Media B.V.editorial@springerplus.com
Identities,Routledgeaabs@uw.edu
International Migration Review,Center for Migration Studies
Identities,Routledge
"International Journal of Migration, Health and Social Care",JAI Pressusinfo-f@elsevier.com
Journal of Migration History,Brill Academic Publisherscs@brill.nl
Population and Development Review,Population Council
Citizenship Studies,Routledge
Patterns of Prejudice,SAGE Publications Ltd
Cultural Diversity and Mental Health,Educational Publishing Foundation
"Population, Space and Place",John Wiley and Sons Ltd
Journal of International Migration and Integration,Springer Science and Business Media B.V.editorial@springerplus.com
Identities,Routledgeinfo@tandf.co.uk
European Journal of Migration and Law,Martinus Nijhoff Publishersorders@brill.nl
Studi Emigrazione,Centro Studi Emigrazione
Ethnic and Racial Studies,Routledge info@tandf.co.uk
Refugee Survey Quarterly,Oxford University Pressjnl.info@oup.co.uk
Latino Studies,Palgrave Macmillan
Migration Letters,Transnational Press London Ltdsales@tplondon.com
International Journal of Intercultural Relations,Elsevier Ltd
Journal of Intercultural Studies,Routledge
Comparative Migration Studies,Springer Science and Business Media Deutschland GmbH
International Migration,Blackwell Publishing Ltdcustomerservices@oxonblackwellpublishing.com
Global Networks,Blackwell Publishing Ltd
Migration Studies,Oxford University Press
Journal of International Migration and Integration,Springer Science and Business Media Netherlands
"Population, Space and Place",West SussexPO19 8SQvgorayska@wiley.com
Ethnicity & health,NLM (Medline)
Global Networks,Blackwell Publishing Ltdinfo@royensoc.co.uk
Cultural diversity & ethnic minority psychology,NLM (Medline)
Journal of Refugee Studies,Oxford University Press
European Journal of Migration and Law,Martinus Nijhoff Publishers
Identities,Gordon and Breach Science Publishers
Journal of International Migration and Integration,Springereditorial@springerplus.com
"International Journal of Migration, Health and Social Care",Pier Professional Ltd
Journal of Black Studies,SAGE Publications Inc.claims@sagepub.com
Migration Studies,Oxford University Pressjnls.cust.serv@oupjournals.org
Latino Studies,Hants.RG21 6XS
Journal of Immigrant and Refugee Studies,Routledge
International Migration Review,Blackwell Publishing Inc.subscrip@blackwellpub.com
Journal of Refugee Studies,Oxford University Pressjnls.cust.serv@oupjournals.org
Journal of Ethnic and Migration Studies,Routledge
Citizenship Studies,Routledgeinfo@tandf.co.uk
European Journal of Migration and Law,Brill Nijhofforders@brill.nl
"Population, Space and Place",John Wiley and Sons Ltdvgorayska@wiley.com
Journal of International Migration and Integration,Springer Netherlandsrbk@louisiana.edu
Population and Development Review,Blackwell Publishing Ltd
Asian and Pacific Migration Journal,SAGE Publications Inc.claims@sagepub.com
Journal of Studies in International Education,SAGE Publications Inc.2455 Teller RoadThousand OaksCA 91320
Population and Development Review,Blackwell Publishing Ltdinfo@royensoc.co.uk
Journal of Studies in International Education,SAGE Publications Inc. claims@sagepub.com
Journal of Diversity in Higher Education,American Psychological Association
Citizenship Studies,Carfax Publishing Company
Ethnicity and Health,Routledge
Journal of Intercultural Studies,Routledgeinfo@tandf.co.uk
International Migration Review,SAGE Publications Ltdinfo@sagepub.co.uk
Journal of International Migration and Integration,Kluwer Academic Publishers
Journal of International Migration and Integration,Springer Netherlands
IZA Journal of Migration,SpringerOpen
Ethnicity and Health,Routledgeinfo@tandf.co.uk
Global Networks,Blackwell Publishing Ltdcustomerservices@oxonblackwellpublishing.com
"Language, Culture and Curriculum",Routledge
"Language, Culture and Curriculum",Multilingual Matters Ltd
Ethnic and Racial Studies,Routledge Journals
Journal of Immigrant and Refugee Studies,Routledgeaabs@uw.edu
"Language, Culture and Curriculum",Routledgeinfo@tandf.co.uk
Latino Studies,Palgrave MacmillanHoundmillsBasingstoke
Refugee Survey Quarterly,Oxford University Press
"Population, Space and Place",John Wiley and Sons Ltdcs-journals@wiley.co.uk
